exposure_time-g	exposure_time-r	exposure_time-z	magnitude_zero_point-g	magnitude_zero_point-r	magnitude_zero_point-z
108.0	40.0	240.0	31.638035	30.699394	32.466034
90.0	63.0	180.0	31.477333	31.402504	31.83846
90.0	40.0	30.0	31.616297	30.695173	30.025328
86.0	86.0	87.0	31.45094	31.57317	31.27311
90.0	30.0	30.0	31.548435	30.458015	30.167582
96.0	30.0	30.0	31.671894	30.553617	30.226627
90.0	57.0	30.0	31.392345	31.184994	30.115757
90.0	100.0	50.0	31.548101	31.826017	30.768282
90.0	31.0	81.0	31.563263	30.489578	31.355267
90.0	90.0	90.0	31.52665	31.69912	31.339493
90.0	62.0	94.0	31.557959	31.22883	31.335396
90.0	90.0	90.0	31.487865	31.682787	31.311918
114.0	40.0	250.0	31.753042	30.700756	31.69392
90.0	46.0	156.0	31.551765	30.988369	31.923124
90.0	30.0	56.0	31.587297	30.541473	30.859774
60.0	100.0	90.0	30.966772	31.727169	31.294472
68.0	40.0	91.0	31.146687	30.809044	31.329103
90.0	41.0	120.0	31.563047	30.82737	31.551386
72.0	180.0	88.0	31.247652	32.397865	31.247059
86.0	86.0	80.0	31.442156	31.572496	31.18564
90.0	60.0	120.0	31.563953	31.278734	31.681986
96.0	30.0	30.0	31.703444	30.592697	30.283485
240.0	30.0	333.0	32.556885	30.480299	32.795303
125.0	125.0	80.0	31.75673	31.994795	31.198225
180.0	100.0	300.0	32.351913	31.827555	32.48579
110.0	40.0	80.0	31.46277	30.671629	31.17144
250.0	250.0	75.0	32.52279	32.750725	31.142529
90.0	150.0	90.0	31.53083	32.245483	31.401258
90.0	90.0	100.0	31.483047	31.672413	31.424807
200.0	200.0	240.0	32.420933	32.573235	32.526047
120.0	120.0	120.0	31.722994	31.935884	31.322668
60.0	30.0	147.0	31.066916	30.532444	31.675354
300.0	50.0	100.0	32.909615	31.0923	31.510254
90.0	39.0	150.0	31.574926	30.798273	31.808716
90.0	90.0	125.0	31.500217	31.686993	31.688389
180.0	100.0	300.0	32.343277	31.795828	32.69488
113.0	44.0	170.0	31.642826	30.841778	32.020435
60.0	105.0	90.0	30.972874	31.770752	31.347355
174.0	86.0	128.0	32.23102	31.576918	31.647596
300.0	90.0	141.0	32.573883	31.644203	31.781115
90.0	31.0	56.0	31.554707	30.505548	30.849281
90.0	120.0	150.0	31.376646	31.566673	31.92102
90.0	90.0	90.0	31.554512	31.596144	31.377256
90.0	225.0	250.0	31.563437	32.62179	32.526108
90.0	40.0	40.0	31.5763	30.914068	30.530115
64.0	59.0	80.0	31.127378	31.218012	30.858835
300.0	300.0	70.0	32.769688	32.952976	31.105106
90.0	60.0	120.0	31.582745	31.270382	31.700127
90.0	33.0	94.0	31.586313	30.621393	31.377043
90.0	35.0	90.0	31.52245	30.675127	31.379158
267.0	60.0	60.0	32.671654	31.30586	30.945715
90.0	150.0	134.0	31.476568	32.22816	31.836132
90.0	90.0	137.0	31.56013	31.654253	31.82909
60.0	150.0	90.0	30.862482	32.176594	31.29211
90.0	90.0	90.0	31.488018	31.6705	31.387314
90.0	100.0	50.0	31.588587	31.867231	30.765028
100.0	150.0	153.0	31.587687	32.20458	31.950918
260.0	225.0	250.0	32.53701	32.5977	32.470116
