CONFIGURATION_1-PLANE_2-OBJECT_1-REDSHIFT CONFIGURATION_1-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-magnitude-g CONFIGURATION_1-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-magnitude-r CONFIGURATION_1-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-magnitude-i CONFIGURATION_1-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-magnitude-z CONFIGURATION_1-PLANE_1-OBJECT_1-REDSHIFT WEIGHT
1.49319685 21.87575722 21.72323608 21.38542557 20.28320503 0.28020265976034875 1.0
1.44290173 21.04474068 22.09628868 22.48069382 21.41435814 0.6919303283682864 1.0
1.43098128 21.64109993 21.67537117 21.5821991 21.39752769 0.685003001259842 1.0
1.56144464 21.90678406 21.83273888 21.32191086 19.98106956 0.589351319480061 1.0
1.30526435 20.68099976 20.71827698 20.03319931 19.97240067 0.3275020835742138 1.0
1.32642758 20.73218727 20.71288109 20.50889206 20.23960114 0.7117987469056114 1.0
1.78346682 20.75588989 20.96728516 20.73487091 20.40032005 0.7196190722641171 1.0
1.77464056 21.17570305 20.53268242 20.48059464 20.4995079 0.4598433312288952 1.0
1.30130517 21.95475578 22.10482407 22.29855347 22.06072617 0.568164656752283 1.0
1.62106371 21.83934784 21.6120491 21.31336975 20.06124687 0.6997758333034556 1.0
1.56724501 21.26338387 21.48550415 21.02458572 21.00631905 0.5490830241758642 1.0
1.37267137 21.26506996 21.33872986 21.678442 20.47455025 0.7015166706534015 1.0
1.46291804 21.84498787 21.94726181 21.94151115 21.15531731 0.5093281243491904 1.0
1.31516361 21.90516853 23.1368885 22.66899681 22.04609108 0.4328298941082711 1.0
1.63752162 21.35906029 21.30690575 21.18477821 20.3520546 0.5018569527642822 1.0
1.74732614 21.40495682 21.59798431 21.49632072 20.70113373 0.6482933392662997 1.0
1.39365053 21.72626305 21.37853813 21.23605919 20.17404938 0.5108247185978803 1.0
1.31549788 20.79691887 20.13336754 19.79605484 19.34181213 0.7336901069732574 1.0
1.89464247 21.85740089 22.63794708 22.70206642 22.1472702 0.6078796170946975 1.0
1.36227322 21.78415108 21.83679962 21.38262558 20.41350174 0.389553707963078 1.0
1.32335126 19.17344475 19.20619583 19.97268105 18.88633347 0.6210612572715565 1.0
1.76983011 20.05924797 19.9561367 19.90249825 19.95153236 0.5941951438313854 1.0
1.34124291 21.50813675 21.40375328 21.57133293 20.70549774 0.5603212756745822 1.0
1.68911994 21.66508675 22.34459114 22.62456131 20.87347412 0.4910355136587261 1.0
1.57676911 21.85921288 21.99677467 21.84412575 21.68044853 0.6789968307279296 1.0
1.3642416 21.89572716 21.68094635 22.08260727 21.1369915 0.6593515588190147 1.0
1.68817461 21.78737259 21.60602951 21.2482605 20.58897781 0.3746200166010463 1.0
1.28672171 21.93587685 23.73937416 23.53888702 23.17782974 0.5454285773164699 1.0
1.39329827 20.92299652 21.59397507 22.61524963 22.09175873 0.5517891230041735 1.0
1.41495979 21.97294998 21.82952309 21.62100601 20.89521408 0.6309102357148488 1.0
1.49737453 21.05511856 21.27070618 21.28259277 20.28738594 0.6752115922435706 1.0
