CONFIGURATION_1-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-magnitude-g	CONFIGURATION_1-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-magnitude-r	CONFIGURATION_1-PLANE_2-OBJECT_1-LIGHT_PROFILE_1-magnitude-z	WEIGHT	CONFIGURATION_1-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-g	CONFIGURATION_1-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-r	CONFIGURATION_1-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-z	CONFIGURATION_1-PLANE_1-OBJECT_1-REDSHIFT	CONFIGURATION_1-PLANE_2-OBJECT_1-REDSHIFT
19.860058	19.356785	19.101511	1.0	21.209831	20.116373	19.451138	0.2894588	1.4985538
21.727238	21.186876	20.936735	1.0	23.601688	21.63572	20.096643	0.6940708	1.4484507
21.905792	21.415257	21.301147	1.0	23.874054	22.165617	20.682098	0.689787	1.432028
20.55899	20.571768	18.709476	1.0	22.614456	20.969261	19.376028	0.58839476	1.569212
21.77321	20.92856	20.523293	1.0	20.77961	19.739862	19.058002	0.32197756	1.3054125
21.480824	20.27191	19.611315	1.0	24.137442	22.380959	20.794947	0.7171844	1.3205904
21.222937	20.019245	19.386421	1.0	22.949226	21.420515	20.55194	0.7189502	1.7848814
21.449348	21.088055	20.948574	1.0	23.566534	21.558199	20.447296	0.45392522	1.7700218
19.602781	18.676487	18.210938	1.0	21.939163	20.98615	20.580696	0.5615122	1.302793
21.181011	20.77501	20.606113	1.0	23.334917	22.042192	20.743603	0.69194514	1.6202453
21.978819	21.592936	21.496027	1.0	23.982275	22.134928	20.977129	0.5436222	1.5617462
21.709639	21.280447	21.147116	1.0	23.252317	21.803566	20.484835	0.706464	1.3737085
21.93832	21.518112	21.3118	1.0	21.98096	20.23361	19.077988	0.5095509	1.4689645
20.541662	20.020838	19.993471	1.0	24.05703	22.32615	20.335058	0.430914	1.3163012
21.010946	20.744612	20.692036	1.0	23.113543	21.802938	20.922882	0.5067703	1.6344943
21.526001	21.280363	21.26533	1.0	23.300306	21.918777	20.501495	0.64788914	1.7489672
21.750278	20.309645	19.257545	1.0	22.37286	21.141712	20.308674	0.5158416	1.3960593
21.739677	20.470142	19.748528	1.0	19.885424	19.306633	19.80514	0.73563015	1.3167839
21.688349	21.237473	21.061686	1.0	23.716494	22.270786	20.021328	0.6064141	1.8955181
21.089176	19.875858	19.133003	1.0	23.287567	21.83572	20.395384	0.38409132	1.3674182
20.787771	20.026772	19.685139	1.0	23.581251	22.059658	20.824629	0.6223068	1.321918
21.4056	21.092575	21.002506	1.0	22.949667	21.182442	19.812403	0.59818006	1.7657936
21.781221	21.17887	20.418674	1.0	23.112003	21.542877	20.358097	0.56288683	1.3402158
21.615467	20.57146	20.113386	1.0	23.711004	21.906534	20.689562	0.4952818	1.6851393
20.573559	20.707157	21.130518	1.0	22.553543	21.527674	20.718306	0.6751251	1.5795245
21.510624	20.086338	19.073238	1.0	22.208141	21.138454	20.250841	0.6540781	1.3622336
21.839308	20.996729	20.504751	1.0	20.87755	19.619616	19.136059	0.37334988	1.6890157
21.270643	20.706402	20.411627	1.0	23.707886	22.278954	20.972265	0.5413042	1.2868543
20.781073	19.432194	18.37826	1.0	22.30256	21.203115	20.526129	0.5545632	1.3995835
21.975475	20.779543	20.060825	1.0	22.962011	21.454262	20.139915	0.6314725	1.4130869
21.836357	21.45299	21.302393	1.0	20.536434	20.026297	19.73511	0.6782525	1.4901643
